id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
43063 Batch 23018.15 OmegaBatch-4 19 0.30 0.50 33.71 0.0000 0.0000 33.71 0.2782 1000 0 0 0
43064 Batch 24776.81 OmegaBatch-1 51 0.30 0.50 140.12 0.0000 0.0000 140.12 0.2694 1000 0 0 0
43065 Batch 24824.85 OmegaBatch-2 392 0.30 0.50 68.13 0.0000 0.0000 68.13 0.2692 1000 0 0 0
43066 Batch 24947.08 OmegaBatch-3 50 0.30 0.50 35.49 0.0000 0.0000 35.49 0.2947 1000 0 0 0
43067 Batch 24947.53 OmegaBatch-4 49 0.30 0.50 10.28 0.0000 0.0000 22.08 0.2947 1000 0 0 0
43068 Batch 25040.67 OmegaBatch-1 7 0.30 0.50 94.78 0.0000 0.0000 94.78 0.2653 1000 0 0 0
43069 Batch 25062.22 OmegaBatch-2 101 0.30 0.50 19.02 0.0000 0.0000 19.02 0.2659 1000 0 0 0
43070 Batch 25127.98 OmegaBatch-3 90 0.30 0.50 137.60 0.0000 0.0000 137.60 0.2659 1000 0 0 0
43071 Batch 26014.28 OmegaBatch-4 5 0.30 0.50 40.47 0.0000 0.0000 40.47 0.2653 1000 0 0 0
43072 Batch 26139.50 OmegaBatch-1 27 0.30 0.50 13.37 0.0000 0.0000 13.37 0.2653 1000 0 0 0
43073 Batch 26206.22 OmegaBatch-2 259 0.30 0.50 103.71 0.0000 0.0000 103.71 0.2653 1000 0 0 0
43074 Batch 26800.24 OmegaBatch-3 75 0.30 0.50 121.49 0.0000 0.0000 121.49 0.2653 1000 0 0 0
43075 Batch 26845.53 OmegaBatch-4 5 0.30 0.50 2.49 0.0000 0.0000 2.49 0.2710 1000 0 0 0
43076 Batch 27692.48 OmegaBatch-1 251 0.30 0.50 80.04 0.0000 0.0000 80.04 0.2653 1000 0 0 0
43077 Batch 27972.58 OmegaBatch-2 118 0.30 0.50 56.32 0.0000 0.0000 56.32 0.2663 1000 0 0 0
43078 Batch 28250.65 OmegaBatch-3 176 0.30 0.50 62.02 0.0000 0.0000 62.02 0.2694 1000 0 0 0
43079 Batch 28891.35 OmegaBatch-4 210 0.30 0.50 27.85 0.0000 0.0000 71.85 0.2615 1000 0 0 0
43080 Batch 28892.58 OmegaBatch-1 140 0.30 0.50 33.26 0.0000 0.0000 33.26 0.2615 1000 0 0 0
43081 Batch 28954.79 OmegaBatch-2 249 0.30 0.50 79.78 0.0000 0.0000 131.58 0.2722 1000 0 0 0
43082 Batch 28988.89 OmegaBatch-3 430 0.30 0.50 55.31 0.0000 0.0000 143.31 0.2775 1000 0 0 0
43083 Batch 29214.01 OmegaBatch-4 31 0.30 0.50 136.03 0.0000 0.0000 136.03 0.2963 1000 0 0 0
43084 Batch 29252.88 OmegaBatch-1 384 0.30 0.50 34.55 0.0000 0.0000 34.55 0.2664 1000 0 0 0
43085 Batch 29372.03 OmegaBatch-2 208 0.30 0.50 316.92 0.0000 0.0000 360.52 0.2641 1000 0 0 0
43086 Batch 29376.92 OmegaBatch-3 78 0.30 0.50 37.28 0.0000 0.0000 37.28 0.2641 1000 0 0 0
43087 Batch 29993.72 OmegaBatch-4 11 0.30 0.50 15.72 0.0000 0.0000 15.72 0.2641 1000 0 0 0
43088 Batch 30241.37 OmegaBatch-1 513 0.30 0.50 122.54 0.0000 0.0000 227.14 0.2641 1000 0 0 0
43089 Batch 30242.15 OmegaBatch-2 355 0.30 0.50 199.91 0.0000 0.0000 199.91 0.2641 1000 0 0 0
43090 Batch 30390.67 OmegaBatch-3 430 0.30 0.50 127.66 0.0000 0.0000 303.66 0.2907 1000 0 0 0
43091 Batch 30415.23 OmegaBatch-4 315 0.30 0.50 243.93 0.0000 0.0000 308.93 0.2907 1000 0 0 0
43092 Batch 30730.85 OmegaBatch-1 205 0.30 0.50 12.70 0.0000 0.0000 12.70 0.3199 1000 0 0 0
43093 Batch 31236.13 OmegaBatch-2 307 0.30 0.50 89.17 0.0000 176.8000 329.37 0.2610 1000 0 0 0
43094 Batch 31267.12 OmegaBatch-3 27 0.30 0.50 7.61 0.0000 0.0000 7.61 0.2610 1000 0 0 0
43095 Batch 31270.49 OmegaBatch-4 9 0.30 0.50 14.99 0.0000 0.0000 14.99 0.2610 1000 0 0 0
43096 Batch 31271.14 OmegaBatch-1 37 0.30 0.50 133.66 0.0000 0.0000 143.06 0.2610 1000 0 0 0
43097 Batch 31288.57 OmegaBatch-2 884 0.30 0.50 16.49 9.9625 312.7625 855.69 0.2610 1000 0 0 0
43098 Batch 31341.76 OmegaBatch-3 21 0.30 0.50 151.03 0.0000 0.0000 151.03 0.2638 1000 0 0 0
