id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
3639 Batch 29646.37 MesosBatch-4 41 0.30 0.50 276.66 0.0110 0.0110 285.86 0.2624 1000 0 0 0
3640 Batch 29650.97 MesosBatch 422 0.30 0.50 14.43 4.6212 4.6212 99.83 0.2624 1000 0 0 0
3641 Batch 29716.29 MesosBatch-2 94 0.30 0.50 18.57 24.7072 24.7072 38.37 0.2655 1000 0 0 0
3642 Batch 29951.04 MesosBatch-3 142 0.30 0.50 396.78 0.0110 0.0110 426.18 0.2624 1000 0 0 0
3643 Batch 29963.61 MesosBatch-4 505 0.30 0.50 289.34 16.8425 16.8425 391.34 0.2624 1000 0 0 0
3644 Batch 30061.68 MesosBatch 3 0.30 0.50 8.02 20.7848 20.7848 9.62 0.2731 1000 0 0 0
3645 Batch 30102.68 MesosBatch-2 206 0.30 0.50 146.80 0.0110 0.0110 189.00 0.3109 1000 0 0 0
3646 Batch 30104.51 MesosBatch-3 119 0.30 0.50 57.52 40.3919 40.3919 82.32 0.3109 1000 0 0 0
3647 Batch 30105.06 MesosBatch-4 59 0.30 0.50 40.51 64.6580 64.6580 53.31 0.3109 1000 0 0 0
3648 Batch 32124.87 MesosBatch 151 0.30 0.50 18.24 0.0110 0.0110 49.44 0.2593 1000 0 0 0
3649 Batch 32534.25 MesosBatch-2 9 0.30 0.50 115.57 0.0110 0.0110 118.37 0.2600 1000 0 0 0
3650 Batch 32534.38 MesosBatch-3 145 0.30 0.50 199.78 2.6928 2.6928 229.78 0.2600 1000 0 0 0
3651 Batch 32545.15 MesosBatch-4 1 0.30 0.50 143.94 71.7441 71.7441 156.34 0.2607 1000 0 0 0
3652 Batch 32545.20 MesosBatch 29 0.30 0.50 155.70 21.8894 21.8894 205.50 0.2607 1000 0 0 0
3653 Batch 32545.21 MesosBatch-2 127 0.30 0.50 26.69 84.1029 84.1029 53.09 0.2607 1000 0 0 0
3654 Batch 32555.81 MesosBatch-3 57 0.30 0.50 133.52 223.5709 223.5709 185.52 0.2607 1000 0 0 0
3655 Batch 32560.74 MesosBatch-4 51 0.30 0.50 8.37 56.1595 56.1595 20.77 0.2607 1000 0 0 0
